Chromatic_number Edge_Probability Time
7 0.1 0.00400233268737793
11 0.2 0.004002809524536133
14 0.3 0.005003452301025391
17 0.4 0.005003690719604492
21 0.5 0.005003213882446289
25 0.6 0.0060040950775146484
30 0.7 0.007005453109741211
37 0.8 0.008005142211914062
45 0.9 0.010007619857788086
100 1.0 0.011007547378540039
31 0.1 0.5616540908813477
54 0.2 0.6346800327301025
76 0.3 0.8165650367736816
102 0.4 1.0516281127929688
127 0.5 1.3036022186279297
158 0.6 1.4284522533416748
195 0.7 1.7419230937957764
242 0.8 1.9734363555908203
317 0.9 2.120974063873291
1000 1.0 5.360208511352539
52 0.1 2.579314947128296
91 0.2 5.210191249847412
134 0.3 7.862371444702148
176 0.4 10.224892139434814
227 0.5 11.251978158950806
279 0.6 13.490068435668945
346 0.7 15.416340351104736
440 0.8 17.754647254943848
583 0.9 20.4280424118042
2000 1.0 54.06872272491455
