Chromatic_number Edge_Probability Time
7 0.1 0.009789705276489258
10 0.2 0.013007879257202148
14 0.3 0.01817154884338379
17 0.4 0.025925159454345703
21 0.5 0.028018951416015625
27 0.6 0.0327150821685791
28 0.7 0.03702735900878906
36 0.8 0.04451489448547363
44 0.9 0.04323768615722656
100 1.0 0.05044674873352051
31 0.1 0.24083256721496582
54 0.2 0.5250048637390137
75 0.3 0.70395827293396
100 0.4 0.8293731212615967
128 0.5 1.1430141925811768
152 0.6 1.3635268211364746
194 0.7 1.5503981113433838
242 0.8 1.789515733718872
318 0.9 1.9698188304901123
1000 1.0 2.338059425354004
52 0.1 1.0160777568817139
92 0.2 1.9425652027130127
132 0.3 2.9167349338531494
175 0.4 3.9727108478546143
224 0.5 5.634029388427734
279 0.6 6.1973772048950195
346 0.7 8.246200561523438
437 0.8 8.510624885559082
586 0.9 11.138115406036377
2000 1.0 11.24880862236023
