Chromatic_number Edge_Probability Time
6 0.1 0.004001140594482422
10 0.2 0.003002166748046875
13 0.3 0.003991842269897461
16 0.4 0.005002498626708984
22 0.5 0.00501561164855957
25 0.6 0.007005214691162109
27 0.7 0.007004976272583008
35 0.8 0.008010149002075195
43 0.9 0.009001731872558594
100 1.0 0.00900578498840332
30 0.1 0.25977659225463867
51 0.2 0.34576964378356934
72 0.3 0.4493215084075928
96 0.4 0.5315191745758057
123 0.5 0.625957727432251
151 0.6 0.6969962120056152
187 0.7 0.8147625923156738
236 0.8 0.8621788024902344
319 0.9 0.9656720161437988
1000 1.0 1.071258306503296
50 0.1 1.07326078414917
89 0.2 1.4645466804504395
130 0.3 1.8282949924468994
171 0.4 2.17903470993042
219 0.5 2.5147814750671387
275 0.6 2.882542133331299
343 0.7 3.2237842082977295
431 0.8 3.6015522480010986
579 0.9 3.930297613143921
2000 1.0 4.495870351791382
